_id,created_at,name,username,message,link,link_image,likes_count,shares_count,comments_count,type,views,user_link,id_post,date,hour,weekday,reactions_count,query
647640debbad6288ac99732e,2023-03-10 15:58:47,Marie Ferro,marieferro98,“El fútbol venezolano merece entrega y compromiso por parte de todos los que hacen vida en la FVF. Para nosotros es fundamental que todos los que conforman nuestro equipo estén a la altura sin excepciones. Más importante que el talento es el respeto al otro”-Jorge Giménez. | . ,https://twitter.com/marieferro98/status/1634222274327859204,['https://pbs.twimg.com/profile_images/1653125248479313928/iOKKuEwg_normal.jpg'],100,20,5,image,7046,https://twitter.com/marieferro98,1634222274327859204,2023-03-10,11,Viernes,125,fvf
647640debbad6288ac99732f,2023-03-10 15:57:47,Raúl Inojosa,RaulEduar,"El contrato de Fernando ""Bocha"" Batista, con la Selección Nacional, es de cuatro año. La idea es que cumpla con todo el ciclo mundialista, asevera Jorge Gimenez, presidente de la @FVF_Oficial.
#LaVinotinto | . ",https://twitter.com/RaulEduar/status/1634222024921849856,['https://pbs.twimg.com/profile_images/1599444976441724931/TbJPeckz_normal.jpg'],0,0,0,image,66,https://twitter.com/RaulEduar,1634222024921849856,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997330,2023-03-10 15:57:38,Fabiana Dos Reis,Fabiana2Reis,"Jorge Giménez, presidente de la FVF, anunció que Fernando ""Bocha"" Batista es el nuevo entrenador de La Vinotinto @DiarioPrimicia | . ",https://twitter.com/Fabiana2Reis/status/1634221983931015170,['https://pbs.twimg.com/profile_images/1417706153677660160/Cq4o-uW2_normal.jpg'],4,4,2,image,1354,https://twitter.com/Fabiana2Reis,1634221983931015170,2023-03-10,11,Viernes,10,fvf
647640debbad6288ac997331,2023-03-10 15:57:33,Descifrado,descifradocom,"#ULTIMAHORA FVF designa a Fernando ""Bocha"" Batista como nuevo seleccionador | descifrado.comFVF designa a Fernando ""Bocha"" Batista como nuevo seleccionadorDurante una rueda de prensa, el presidente de la Federación Venezolana de Fútbol (FVF), Jorge Giménez, designó al argentino Fernando “Bocha” Batista como seleccionador nacional. Esta semana, el.... ",https://twitter.com/descifradocom/status/1634221967040446464,[],0,0,0,carrusel,227,https://twitter.com/descifradocom,1634221967040446464,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997332,2023-03-10 15:57:24,Carlos,arrobacarlos_,"Fernando ""Bocha"" Batista pese a todo lo que se diga, es el más idóneo para seguir con este proyecto vinotinto. A mí en lo personal me alegra que sea el elegido. Lo más contundente fue las declaraciones del presidente de la FVF respecto a Pekerman y Lezcano | . ",https://twitter.com/arrobacarlos_/status/1634221925714083840,['https://pbs.twimg.com/profile_images/1051703272963264513/OtAG5ghw_normal.jpg'],0,0,0,image,58,https://twitter.com/arrobacarlos_,1634221925714083840,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997333,2023-03-10 15:57:22,Angel Soto,ansoto92,"Fernando Batista tendrá contrato por cuatro años, y se espera que cumpla con la @SeleVinotinto todo el ciclo de Eliminatorias de @CONMEBOL hacia la @fifaworldcup_es.

Lo dicho por Jorge Giménez, presidente de la @FVF_Oficial. | . ",https://twitter.com/ansoto92/status/1634221919833563137,['https://pbs.twimg.com/profile_images/1663198688800382977/DRi8T3hd_normal.jpg'],1,0,0,image,172,https://twitter.com/ansoto92,1634221919833563137,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac997334,2023-03-10 15:57:14,Juan Neruda,juaneruda,"A Batista le peso mas el prestigio de ser entrenador de la vinotinto @FVF_Oficial
que ser leal al que le brindo la oportunidad de trabajar a su lado para mejorar el futbol venezolano. No pasa nada Pekerman!, mejor perderlos que encontrarlos... | . ",https://twitter.com/juaneruda/status/1634221886140710915,['https://pbs.twimg.com/profile_images/1300519995009626112/Fl3Efq1__normal.jpg'],0,0,0,image,14,https://twitter.com/juaneruda,1634221886140710915,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997335,2023-03-10 15:57:08,Nerio Rodríguez,NerioRod,"Lo  último!!.la FVF,hoy,en rueda  de prensa,anuncio  la  designación del argentino Sergio Fernando Baptista,como el nuevo DT  de  la http://Vinotinto.Se espera  para hoy,la llegada al país del argentino,para la firma  del contrato  para dirigir la  vino tinto. 10 M | . ",https://twitter.com/NerioRod/status/1634221860559650817,['https://pbs.twimg.com/profile_images/442790214570745856/TW_hjZBz_normal.jpeg'],0,0,0,image,27,https://twitter.com/NerioRod,1634221860559650817,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997336,2023-03-10 15:57:01,Deporte Today,DeporteToday2,¡OFICIAL! La #FVF confirmó que Fernando Batista asumirá las riendas de la #Vinotinto tras la salida de José Pekerman. El ‘Bocha’ formaba parte del cuerpo técnico de Pekerman y esta será su primera experiencia como DT titular ¿Te parece acertado su nombramiento? | . ,https://twitter.com/DeporteToday2/status/1634221829349953536,['https://pbs.twimg.com/media/Fq3sFgBaUAEcUWO?format=jpg&name=small'],3,2,1,carrusel,365,https://twitter.com/DeporteToday2,1634221829349953536,2023-03-10,11,Viernes,6,fvf
647640debbad6288ac997337,2023-03-10 15:56:41,FVF,FVF_Oficial,"“Es nuestro compromiso con los jugadores, entrenadores,clubes y asociaciones niños y todos los que sueñan con ver victorias en un futuro”, Jorge Giménez, Presidente de la FVF. | . ",https://twitter.com/FVF_Oficial/status/1634221748915785729,['https://pbs.twimg.com/profile_images/1594680268824223745/rtEf7a4h_normal.jpg'],101,28,8,image,10973,https://twitter.com/FVF_Oficial,1634221748915785729,2023-03-10,11,Viernes,137,fvf
