Source,Target,Type,Id,Label,Weight,Color
klon_perez,auyantepuy12,Directed,138,,1,"#000000"
klon_perez,ansoto92,Directed,139,,1,"#000000"
klon_perez,antonio_ceballo,Directed,140,,1,"#000000"
klon_perez,joselosierra,Directed,141,,1,"#000000"
klon_perez,Jarretureta,Directed,142,,1,"#000000"
klon_perez,garciarubeUtd,Directed,143,,1,"#000000"
klon_perez,Gabriiiiel19,Directed,144,,1,"#000000"
SoyOtroLucho,SOLOVENEX_,Directed,145,,0.5,"#000000"
SoyOtroLucho,foro_todofutbol,Directed,146,,0.5,"#000000"
SoyOtroLucho,zuricht94,Directed,147,,0.5,"#000000"
SoyOtroLucho,Carta_Deportiva,Directed,148,,0.5,"#000000"
Gregori35469472,VTVcanal8,Directed,150,,0.5,"#000000"
regamers10,klon_perez,Directed,152,,0.5,"#000000"
regamers10,SOLOVENEX_,Directed,153,,0.5,"#000000"
regamers10,Elpulgarin,Directed,154,,0.5,"#000000"
regamers10,regamers10,Directed,156,,1,"#000000"
Kevingerardo77,klon_perez,Directed,157,,0.5,"#000000"
JoanVillarroel6,conexgoleadora,Directed,160,,2,"#000000"
JoanVillarroel6,JohnnyDiaz132,Directed,161,,1,"#000000"
JoanVillarroel6,MarioSanchezVe,Directed,162,,1,"#000000"
JoanVillarroel6,SOLOVENEX_,Directed,163,,1,"#000000"
JoanVillarroel6,AlfredoCoronis,Directed,165,,2,"#000000"
Leitoo23_,SOLOVENEX_,Directed,166,,0.5,"#000000"
jackeli59632735,VTVcanal8,Directed,168,,0.5,"#000000"
Darwinvanegas18,PaezDt,Directed,171,,1,"#000000"
Darwinvanegas18,klon_perez,Directed,172,,1,"#000000"
Darwinvanegas18,Jubert_Antidoto,Directed,173,,1,"#000000"
Darwinvanegas18,FelipeLotasReal,Directed,174,,1,"#000000"
exchichero,klon_perez,Directed,175,,1,"#000000"
alfonzo_38825,klon_perez,Directed,178,,1,"#000000"
alfonzo_38825,carlostaracher,Directed,179,,1,"#000000"
alfonzo_38825,LaDivinaDiva,Directed,180,,1,"#000000"
Lalejandro_99,SOLOVENEX_,Directed,181,,0.5,"#000000"
Lalejandro_99,aranguismo18,Directed,182,,0.5,"#000000"
Lalejandro_99,RichardMoralesR,Directed,183,,0.5,"#000000"
gura_vinotinto,klon_perez,Directed,185,,0.5,"#000000"
gura_vinotinto,pulidojorge,Directed,187,,1,"#000000"
gura_vinotinto,carlosa44100698,Directed,188,,1,"#000000"
raykar57,SOLOVENEX_,Directed,189,,0.5,"#000000"
raykar57,idiomafutve,Directed,190,,0.5,"#000000"
raykar57,foro_todofutbol,Directed,191,,2,"#000000"
raykar57,ManoloDavilatv,Directed,192,,0.5,"#000000"
raykar57,carlostaracher,Directed,193,,0.5,"#000000"
raykar57,FutVe_Goleador,Directed,194,,0.5,"#000000"
raykar57,conexgoleadora,Directed,195,,0.5,"#000000"
raykar57,AlfredoCoronis,Directed,196,,0.5,"#000000"
raykar57,Naranjazos10,Directed,197,,0.5,"#000000"
raykar57,kikoperozo,Directed,198,,0.5,"#000000"
raykar57,MarioSanchezVe,Directed,199,,0.5,"#000000"
raykar57,klon_perez,Directed,200,,0.5,"#000000"
raykar57,zuricht94,Directed,201,,0.5,"#000000"
raykar57,ElMundo_Futbol,Directed,202,,0.5,"#000000"
raykar57,ManoloDavilaS,Directed,203,,0.5,"#000000"
raykar57,alexsternberg,Directed,204,,0.5,"#000000"
raykar57,NelsonFerrer8,Directed,205,,0.5,"#000000"
raykar57,tenordelgol,Directed,206,,0.5,"#000000"
raykar57,frankhurtado_45,Directed,207,,0.5,"#000000"
raykar57,martringut,Directed,209,,2,"#000000"
otglifuentes,VTVcanal8,Directed,210,,0.5,"#000000"
argenisgallardo,klon_perez,Directed,212,,0.5,"#000000"
argenisgallardo,marieferro98,Directed,213,,0.5,"#000000"
argenisgallardo,DeporLara,Directed,214,,0.5,"#000000"
argenisgallardo,ManoloDavilatv,Directed,215,,0.5,"#000000"
argenisgallardo,lgdiaz_66,Directed,216,,0.5,"#000000"
argenisgallardo,manoloduran1,Directed,217,,0.5,"#000000"
argenisgallardo,EdgardoCDL13_HR,Directed,218,,0.5,"#000000"
argenisgallardo,Javiergn176,Directed,219,,0.5,"#000000"
eldetacha,cosasdeiglesias,Directed,222,,1,"#000000"
Deividforero,VTVcanal8,Directed,223,,0.5,"#000000"
alelo2202,klon_perez,Directed,225,,0.5,"#000000"
JUANTOR21960998,SOLOVENEX_,Directed,227,,0.5,"#000000"
karinina34,VTVcanal8,Directed,229,,0.5,"#000000"
Nellfred26,MoralesGabriel_,Directed,231,,2,"#000000"
juancfcwaraira,pulidojorge,Directed,234,,1,"#000000"
juancfcwaraira,carlostaracher,Directed,235,,1,"#000000"
ELGOLLDO13,klon_perez,Directed,236,,0.5,"#000000"
Rxbfr_,klon_perez,Directed,238,,0.5,"#000000"
kandanguero,SOLOVENEX_,Directed,240,,0.5,"#000000"
kandanguero,klon_perez,Directed,241,,2,"#000000"
kandanguero,pulidojorge,Directed,243,,0.5,"#000000"
kandanguero,BochaVinotinto,Directed,244,,0.5,"#000000"
kandanguero,jesuslinares23,Directed,245,,0.5,"#000000"
kandanguero,gregarces,Directed,247,,2,"#000000"
StupidpdroStory,MoralesGabriel_,Directed,248,,2,"#000000"
StupidpdroStory,GerGarciaGrova,Directed,249,,0.5,"#000000"
josetrompiz10,pulidojorge,Directed,252,,1,"#000000"
jairomarrero211,klon_perez,Directed,253,,0.5,"#000000"
eumaresaa,EsRojas,Directed,255,,0.5,"#000000"
SegaBros09,SinFaltapy,Directed,258,,1,"#000000"
SegaBros09,klon_perez,Directed,259,,0.5,"#000000"
SegaBros09,SegaBros09,Directed,260,,2,"#000000"
SegaBros09,Futbolifevzla,Directed,261,,1,"#000000"
SegaBros09,pulidojorge,Directed,262,,1,"#000000"
SegaBros09,carlostaracher,Directed,263,,1,"#000000"
SegaBros09,ErrantAchIrA,Directed,264,,1,"#000000"
SegaBros09,MustafaNayi,Directed,265,,1,"#000000"
SegaBros09,LeoCDL,Directed,266,,1,"#000000"
SegaBros09,FCasalUy,Directed,267,,1,"#000000"
SegaBros09,fromanof,Directed,268,,1,"#000000"
SegaBros09,Gilbert98_art,Directed,269,,1,"#000000"
SegaBros09,Ronaldastudillo,Directed,270,,1,"#000000"
