Id,Label,d8,d7,d6,d5,d4,d3,d2,d1,d0,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,Authority,Hub,Comunidades,X,Y,Size,Color
Ope_Legis_,Ope_Legis_,94165,0,0,0,0,4901,53,6848,12795,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.72676,0.303578,0.001041,"#0092fb"
blackpuchii,blackpuchii,48167,0,0,0,0,22057,1,49,104,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.682024,0.31939,0.001041,"#0092fb"
Jhonatanro,Jhonatanro,178265,0,0,0,0,101027,26,5523,5903,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.662622,0.331317,0.001041,"#0092fb"
OSCARGABY,OSCARGABY,9698,0,0,0,0,2469,5,499,126,0,1,1,5,8,0.271121,0.309564,0,0,0.000044,0,0.002317,pulidojorge,0.38509,0.823071,0.001041,"#da5ed6"
freenavarrete,freenavarrete,30276,0,0,0,0,12962,1,471,41,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.693184,0.291125,0.001041,"#0092fb"
adpintosalinas,adpintosalinas,37170,0,0,0,0,16875,2,294,449,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.745272,0.299965,0.001041,"#0092fb"
federicoalves,federicoalves,1618540,0,0,0,0,169923,640,30247,74090,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.709002,0.278074,0.001041,"#0092fb"
vjrg1965,vjrg1965,5133,0,0,0,0,1179,0,126,40,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.648619,0.415279,0.001041,"#0092fb"
NEBarrios,NEBarrios,173217,0,0,0,0,405154,19,4963,2676,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.783423,0.419449,0.001041,"#0092fb"
agnostico_2020,agnostico_2020,11183,0,0,0,0,19337,0,589,196,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.717486,0.310807,0.001041,"#0092fb"
ElsaMendez23,ElsaMendez23,219821,0,0,0,0,159206,1,2504,1467,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.759183,0.33387,0.001041,"#0092fb"
igorchirinos77,igorchirinos77,186027,0,0,0,0,80694,0,970,650,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.691897,0.336014,0.001041,"#0092fb"
JoseGRojasP,JoseGRojasP,51007,0,0,0,0,11691,11,1866,316,0,2,2,65,9,0.23771,0.265482,0,0,0.000044,0,0.004178,Naranjazos10,0.427529,0.496362,0.002081,"#ad7d00"
henser,henser,173632,0,0,0,0,276436,13,2391,1003,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.804474,0.39627,0.001041,"#0092fb"
ernestodelacruz,ernestodelacruz,168021,0,0,0,0,641,18,4063,1238,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.778973,0.295833,0.001041,"#0092fb"
Aldiaconoticias,Aldiaconoticias,52702,0,0,0,0,23757,1,3630,376,0,2,2,271,9,0.211251,0.237722,0,0,0.000044,0,0.033893,MariaGArocha,0.715749,0.478813,0.002081,"#0092fb"
luis_diaz57,luis_diaz57,28004,0,0,0,0,76654,0,309,79,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.778491,0.326125,0.001041,"#0092fb"
chuchi888,chuchi888,72592,0,0,0,0,68997,2,1170,332,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.805675,0.345864,0.001041,"#0092fb"
Jacquehurtado4,Jacquehurtado4,192720,0,0,0,0,37272,18,1814,1630,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.759676,0.330192,0.001041,"#0092fb"
ZaaAnaluisa,ZaaAnaluisa,198773,0,0,0,0,90803,20,7167,7610,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.772466,0.308878,0.001041,"#0092fb"
ospiluis,ospiluis,6658,0,0,0,0,270,1,291,99,0,1,1,5,8,0.271121,0.309564,0,0,0.000044,0,0.002317,pulidojorge,0.431615,0.795079,0.001041,"#da5ed6"
JUDITHBELANDRIA,JUDITHBELANDRIA,150979,0,0,0,0,103078,7,8211,10096,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.706335,0.288507,0.001041,"#0092fb"
brandy1960,brandy1960,36422,0,0,0,0,31644,7,3885,913,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.787364,0.400991,0.001041,"#0092fb"
Willi99798203,Willi99798203,187587,0,0,0,0,77700,0,998,711,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.653925,0.418403,0.001041,"#0092fb"
earpolar,earpolar,33182,0,0,0,0,23,1,1959,474,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.781716,0.426497,0.001041,"#0092fb"
EZanoletty,EZanoletty,395,0,0,0,0,21,1,302,7,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.662408,0.372809,0.001041,"#0092fb"
clarcklaurens1,clarcklaurens1,47008,0,0,0,0,55563,8,4900,6926,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.656619,0.296101,0.001041,"#0092fb"
cordovara,cordovara,17536,0,0,0,0,1222,1,147,73,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.637257,0.37467,0.001041,"#0092fb"
NmoRocio,NmoRocio,7262,0,0,0,0,2661,0,2988,659,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.744721,0.334383,0.001041,"#0092fb"
ALEXSOLANO591,ALEXSOLANO591,89458,0,0,0,0,12577,13,3242,1000,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.651932,0.348715,0.001041,"#0092fb"
felipe_18_85,felipe_18_85,78149,0,0,0,0,90513,2,1872,1396,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.810342,0.329195,0.001041,"#0092fb"
ZAular,ZAular,210205,0,0,0,0,116538,45,2436,2186,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.804789,0.387987,0.001041,"#0092fb"
Alexven200020,Alexven200020,17069,0,0,0,0,14702,3,220,136,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.669145,0.324872,0.001041,"#0092fb"
jhoancorderocs,jhoancorderocs,954,0,0,0,0,1815,0,236,15,0,3,3,271,9,0.211722,0.239875,0,0,0.000044,0,0.033928,MariaGArocha,0.760521,0.484462,0.003122,"#0092fb"
elpocho007,elpocho007,126446,0,0,0,0,54027,8,2150,458,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.806066,0.365973,0.001041,"#0092fb"
claudioa76,claudioa76,15452,0,0,0,0,37123,1,2914,548,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.788768,0.298032,0.001041,"#0092fb"
marypana1,marypana1,493651,0,0,0,0,26921,80,14303,26149,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.793958,0.355815,0.001041,"#0092fb"
terry75ruiz,terry75ruiz,256382,0,0,0,0,64388,43,9542,9491,0,2,2,612,1,1,1,0,0,0.000044,0,0.002733,612,0.802971,0.288971,0.002081,"#c0c0c0"
cocochacao,cocochacao,134320,0,0,0,0,48597,221,2414,1435,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.789186,0.405425,0.001041,"#0092fb"
antonyyoel1,antonyyoel1,26499,0,0,0,0,33872,6,985,907,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.668512,0.30848,0.001041,"#0092fb"
PedroOquero,PedroOquero,303629,0,0,0,0,821,71,11825,12321,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.77374,0.3336,0.001041,"#0092fb"
carlos_molina68,carlos_molina68,41124,0,0,0,0,209,0,313,81,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.71042,0.295714,0.001041,"#0092fb"
montserratleal,montserratleal,104963,0,0,0,0,12420,12,4903,5218,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.784263,0.444057,0.001041,"#0092fb"
vs_G8,vs_G8,286125,0,0,0,0,103795,0,1984,1628,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.640231,0.368045,0.001041,"#0092fb"
DESTROCOBRA3,DESTROCOBRA3,64302,0,0,0,0,3573,2,2808,695,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.673453,0.42812,0.001041,"#0092fb"
martinmoncada,martinmoncada,92372,0,0,0,0,2978,8,1407,669,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.645298,0.356338,0.001041,"#0092fb"
zuricht94CM,zuricht94CM,6706,0,0,0,0,1369,7,48,1709,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.763173,0.352115,0.001041,"#0092fb"
albravopueblo1,albravopueblo1,92014,0,0,0,0,36878,7,5148,6756,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.744778,0.32526,0.001041,"#0092fb"
HDPyMedioCDM,HDPyMedioCDM,80773,0,0,0,0,14508,35,915,7935,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.810206,0.340937,0.001041,"#0092fb"
El_ShrekGuevara,El_ShrekGuevara,57222,0,0,0,0,52030,7,5391,6066,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.775242,0.367148,0.001041,"#0092fb"
cristiancrespoj,cristiancrespoj,31778,0,0,0,0,16538,500,20433,194605,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.725985,0.329238,0.001041,"#0092fb"
ValiantThorIN,ValiantThorIN,51361,0,0,0,0,29489,2,1361,914,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.652676,0.339347,0.001041,"#0092fb"
carloslpaez,carloslpaez,26012,0,0,0,0,15956,4,816,805,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.6692,0.286449,0.001041,"#0092fb"
Ninii_Aponte89,Ninii_Aponte89,78322,0,0,0,0,77974,11,4591,6745,0,1,1,271,1,1,1,0,0,0.000044,0,0.002633,MariaGArocha,0.712639,0.305729,0.001041,"#0092fb"
Gersonq,Gersonq,3604,1,0,0,0,1487,0,363,90,1,1,2,5,9,0.213463,0.232267,0,0.002536,0.000254,0.000075,0.000002,pulidojorge,0.315315,0.894509,0.002081,"#da5ed6"
Nnlonvin,Nnlonvin,153241,0,0,0,0,66003,0,4950,951,0,2,2,271,9,0.211251,0.237722,0,0,0.000044,0,0.033893,MariaGArocha,0.716469,0.467203,0.002081,"#0092fb"
soyunLocoplaya,soyunLocoplaya,1287,0,0,0,0,9867,0,293,117,0,1,1,374,1,1,1,0,0,0.000044,0,0,374,0.45647,0.971957,0.001041,"#c0c0c0"
GutyGuty,GutyGuty,11185,0,0,0,1,5260,4,2211,1398,0,1,1,374,1,1,1,0,0,0.000044,0,0,374,0.464466,0.980118,0.001041,"#c0c0c0"
asiento_127,asiento_127,21421,0,0,0,0,7412,19,2433,1925,1,1,2,375,1,1,1,1,0.000896,0.000081,0,0,375,0.654119,0.09584,0.002081,"#c0c0c0"
ArevaloRafael4,ArevaloRafael4,73338,0,0,0,0,35,0,46,80,0,2,2,120,2,0.666667,0.75,0,0,0.000044,0,0.000001,MervinMaldonad0,0.306923,0.222712,0.002081,"#00a176"
GatofutboleroM,GatofutboleroM,141,0,0,0,0,149,0,99,13,0,1,1,65,9,0.237072,0.263216,0,0,0.000044,0,0.004126,Naranjazos10,0.39565,0.651122,0.001041,"#ad7d00"
darwingar00,darwingar00,21814,0,0,0,0,37,0,1106,1025,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.284015,0.248559,0.001041,"#00a176"
euroathletik,euroathletik,18438,0,0,0,0,35367,11,822,380,0,1,1,287,3,0.5,0.533333,0,0,0.000044,0,0,287,0.008292,0.445996,0.001041,"#c0c0c0"
nakarys22,nakarys22,22012,0,0,0,0,14,0,641,338,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.271192,0.231202,0.001041,"#00a176"
maykelsanchez23,maykelsanchez23,46144,0,0,0,0,183,0,641,400,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.300097,0.215599,0.001041,"#00a176"
MARYCOVA29,MARYCOVA29,15634,0,0,0,0,23,0,183,66,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.291655,0.220699,0.001041,"#00a176"
Fernanditoska,Fernanditoska,20653,0,0,0,0,1098,3,905,385,0,0,0,376,0,0,0,0,0,0.000044,0,0,376,0.098084,0.760877,0,"#c0c0c0"
SamuelH1,SamuelH1,7387,0,0,0,0,10104,6,750,388,0,0,0,377,0,0,0,0,0,0.000044,0,0,377,0.837207,0.848051,0,"#c0c0c0"
Arturoraulds82,Arturoraulds82,7993,0,0,0,0,8637,1,1026,114,0,1,1,200,1,1,1,0,0,0.000044,0,0.000001,200,0.041163,0.479757,0.001041,"#c0c0c0"
RAULSALAZAR86,RAULSALAZAR86,11574,0,0,0,0,2744,2,929,338,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.29446,0.250822,0.001041,"#00a176"
bouchardjm2014,bouchardjm2014,4956,0,0,0,0,13561,0,1774,133,0,2,2,282,1,1,1,0,0,0.000044,0,0.000653,282,0.355335,0.422907,0.002081,"#c0c0c0"
docentekarla,docentekarla,22201,0,0,0,0,8775,0,255,49,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.285095,0.239045,0.001041,"#00a176"
DalesqutaR101,DalesqutaR101,40821,0,0,0,0,1876,0,274,161,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.270181,0.237338,0.001041,"#00a176"
LilaBracho3,LilaBracho3,34138,0,0,0,0,481,0,74,61,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.274023,0.225796,0.001041,"#00a176"
carmens06085191,carmens06085191,8132,0,0,0,0,3,0,21,14,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.272964,0.241021,0.001041,"#00a176"
MoisesC20356249,MoisesC20356249,10792,0,0,0,0,112,0,8,20,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.27859,0.228911,0.001041,"#00a176"
jesserhernande9,jesserhernande9,16193,0,0,0,0,28,0,37,39,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.278187,0.245762,0.001041,"#00a176"
castro91295881,castro91295881,23504,0,0,0,0,246,0,31,42,0,1,1,120,1,1,1,0,0,0.000044,0,0.000001,MervinMaldonad0,0.275659,0.21984,0.001041,"#00a176"
Ctre_19,Ctre_19,13398,1,0,0,1,3787,4,109,587,0,1,1,378,1,1,1,0,0,0.000044,0,0,378,0.007138,0.468965,0.001041,"#c0c0c0"
ahijadito2,ahijadito2,25044,0,0,0,0,30940,1,902,108,0,1,1,200,1,1,1,0,0,0.000044,0,0.000001,200,0.032739,0.495926,0.001041,"#c0c0c0"
jleonardoRR,jleonardoRR,9109,0,0,0,0,388,0,1001,318,0,1,1,380,1,1,1,0,0,0.000044,0,0,380,0.395741,0.979939,0.001041,"#c0c0c0"
JesusRo56289761,JesusRo56289761,57,0,0,0,0,52,0,95,4,0,1,1,204,1,1,1,0,0,0.000044,0,0.000044,204,0.556888,0.263866,0.001041,"#c0c0c0"
KitchenProject_,KitchenProject_,9296,0,0,0,1,5073,2,422,140,0,1,1,287,3,0.5,0.533333,0,0,0.000044,0,0,287,0.040104,0.43939,0.001041,"#c0c0c0"
RadioSportTD,RadioSportTD,36724,1,0,2,1,1922,15,382,4358,5,0,5,204,0,0,0,0,0.004569,0.000187,0.001365,0,204,0.556975,0.288713,0.005203,"#c0c0c0"
pablojnzs,pablojnzs,55449,0,0,0,1,40152,5,815,593,0,1,1,247,9,0.210495,0.235294,0,0,0.000044,0,0.03126,klon_perez,0.685125,0.558857,0.001041,"#36ae00"
Zurdomoncada,Zurdomoncada,15115,1,0,0,4,29016,1,408,182,0,1,1,268,1,1,1,0,0,0.000044,0,0.001723,SOLOVENEX_,0.284825,0.446857,0.001041,"#00b2e6"
Ing_mecnedc,Ing_mecnedc,9449,0,0,0,0,3587,7,4866,534,0,0,0,379,0,0,0,0,0,0.000044,0,0,379,0.279233,0.076317,0,"#c0c0c0"
aguilar_sivira,aguilar_sivira,1211,0,0,0,0,12562,1,281,24,0,2,2,268,9,0.210872,0.237418,0,0,0.000044,0,0.032983,SOLOVENEX_,0.43378,0.501156,0.002081,"#00b2e6"
wilfredorojast,wilfredorojast,3137,0,0,1,0,2077,0,1026,293,1,0,1,380,0,0,0,0,0.000896,0.000081,0,0,380,0.396902,0.973028,0.001041,"#c0c0c0"
Hectorcha92,Hectorcha92,44,1,0,0,0,7,0,155,3,1,2,3,152,10,0.191097,0.209256,2117,0.01149,0.000581,0.00004,0.001049,152,0.196865,0.386954,0.003122,"#c0c0c0"
miguel240396,miguel240396,4488,0,0,0,0,19541,0,1626,40,0,1,1,200,1,1,1,0,0,0.000044,0,0.000001,200,0.03774,0.487027,0.001041,"#c0c0c0"
EmilioV16649306,EmilioV16649306,665,0,0,0,0,1423,0,196,12,0,0,0,381,0,0,0,0,0,0.000044,0,0,381,0.013145,0.535837,0,"#c0c0c0"
gabrieldelaweb,gabrieldelaweb,5437,0,0,0,0,10055,4,2093,294,0,0,0,382,0,0,0,0,0,0.000044,0,0,382,0.754685,0.924546,0,"#c0c0c0"
guidorozco,guidorozco,487,0,0,0,1,318,3,841,151,0,1,1,266,10,0.179279,0.192583,0,0,0.000044,0,0.000277,ManoloDavilatv,0.377146,0.707805,0.001041,"#437292"
klown_perez,klown_perez,207,0,0,2,0,43,0,241,166,2,0,2,65,0,0,0,0,0.001793,0.000057,0.000323,0,Naranjazos10,0.316193,0.90757,0.002081,"#ad7d00"
oscarrojasnava,oscarrojasnava,2460,1,0,0,0,89,0,96,24,1,2,3,78,1,1,1,1,0.000988,0.000128,0,0.000089,78,0.057507,0.597962,0.003122,"#c0c0c0"
Richaoye2003,Richaoye2003,2615,0,0,0,0,1474,0,433,42,0,0,0,383,0,0,0,0,0,0.000044,0,0,383,0.853747,0.16169,0,"#c0c0c0"
david5985,david5985,9771,0,0,0,0,6989,4,1829,1472,0,1,1,200,1,1,1,0,0,0.000044,0,0,200,0.373858,0.355409,0.001041,"#c0c0c0"
K1cha0,K1cha0,4674,1,0,0,0,11273,1,1047,182,1,1,2,152,1,1,1,1,0.001453,0.000291,0.000034,0.001723,152,0.228253,0.427474,0.002081,"#c0c0c0"
aurine77,aurine77,981,1,0,0,1,2873,0,51,18,2,2,4,268,10,0.174171,0.189156,4514.718651,0.006504,0.000593,0.002279,0.000141,SOLOVENEX_,0.292304,0.629941,0.004162,"#00b2e6"
RojasFreites_26,RojasFreites_26,4224,1,0,0,0,2198,3,1264,386,1,1,2,268,1,1,1,2,0.001227,0.000296,0.000005,0.001723,SOLOVENEX_,0.268155,0.527708,0.002081,"#00b2e6"
IsaakZambrano10,IsaakZambrano10,79914,0,0,0,0,10433,13,2997,3456,0,2,2,282,1,1,1,0,0,0.000044,0,0.001768,282,0.21574,0.530214,0.002081,"#c0c0c0"
MaikelH517,MaikelH517,47085,0,0,0,0,12367,9,3183,699,0,1,1,5,8,0.271121,0.309564,0,0,0.000044,0,0.002317,pulidojorge,0.342147,0.761487,0.001041,"#da5ed6"
elchamocandanga,elchamocandanga,348766,0,0,0,0,115881,31,5459,5875,0,1,1,340,1,1,1,0,0,0.000044,0,0.000791,340,0.488234,0.403078,0.001041,"#c0c0c0"
jaamy97,jaamy97,65142,1,0,0,0,30231,45,396,2277,1,3,4,268,9,0.224719,0.247641,359,0.000988,0.000107,0,0.000105,SOLOVENEX_,0.051223,0.520476,0.004162,"#00b2e6"
ArgenisSequer12,ArgenisSequer12,224,0,0,0,1,375,0,185,11,0,1,1,5,8,0.271121,0.309564,0,0,0.000044,0,0.002317,pulidojorge,0.339911,0.818227,0.001041,"#da5ed6"
EAiMaRadona,EAiMaRadona,5939,0,0,0,0,1977,2,313,154,0,1,1,152,10,0.191121,0.207718,0,0,0.000044,0,0.001048,152,0.244658,0.356811,0.001041,"#c0c0c0"
metdea,metdea,100539,0,0,0,0,19972,12,2272,3150,0,1,1,612,1,1,1,0,0,0.000044,0,0.0001,612,0.860697,0.275101,0.001041,"#c0c0c0"
Soy_AlfonsoP,Soy_AlfonsoP,966,1,0,0,1,9354,4,2387,378,0,1,1,247,9,0.210495,0.235294,0,0,0.000044,0,0.03126,klon_perez,0.549722,0.610887,0.001041,"#36ae00"
