_id,message_clean,followers,followings,listed_count,favourites_count,likes_count,retweet_count,quote_count,comments_count,reactions_count,count_user,statuses_count,Degree,pageranks_desnormalizado,indice_influencia
646d2f52bde86ad3421317d3,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,455,1200,0,1237,0,0,0,0,0,2,28232,2.0,0.0044,0.0044
646d2f52bde86ad3421317d4,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,1185,1046,2,149,2,13,0,0,15,3,15864,19.0,0.060899999999999996,2.7452166666666664
646d2f52bde86ad3421317d5,cierto jugando andes ido 3 mundiales seguidos mala decision fvf,300,2357,5,568,0,0,0,0,0,2,8737,3.0,0.0044,0.0066
646d2f52bde86ad3421317d6,primer rival eliminatoria seleccion colombia enfrentara irak alemania proxima fecha fifa junio pronto deben anunciarse 2 encuentros vinotinto,75,475,0,52,0,0,0,0,0,4,618,4.0,0.0104,0.0208
646d2f52bde86ad3421317d7,opinan decision federacion venezolana futbol fvf vinotinto juegue primer partido eliminatorias mundialistas maturin,1011,1890,23,17708,0,0,0,0,0,3,89815,3.0,0.0044,0.0066
646d2f52bde86ad3421317d8,cierto senor llamaria scout pondria dirigencia fvf magistral dijo entrevista river hoy disney complejo futbol,1,40,0,14,1,0,0,0,1,7,94,8.0,0.0044,0.0176
646d2f52bde86ad3421317d9,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,815,1415,1,168145,0,0,0,0,0,7,178519,3.0,0.0044,0.0066
646d2f52bde86ad3421317da,sub 17 pasa pagina espera chile mas informacion aqui,111877,1636,451,239,0,0,0,0,0,56,460182,3.0,0.0138,0.0207
646d2f52bde86ad3421317db,gregory hablo asociaciones pais esfuerzo haciendo nueva fvf extraordinario unico historia ahora futbol profesional adecuando proximos anos futbol mejor sustentable mayor nivel,427,195,1,2689,0,0,0,1,1,6,1437,2.0,0.0057,0.0057
646d2f52bde86ad3421317dc,pana buena nota conexion goleadora brizuela ex scouting seleccion venezuela pekerman desmontan teoria argentinos pekerman santo culpa fvf mejor pudo pasar,26,296,0,7590,0,0,0,0,0,9,3010,7.0,0.0044,0.0154
646d2f52bde86ad3421317dd,sub 17 pasa pagina espera chile mas informacion aqui,111877,1636,451,239,0,0,0,0,0,56,460182,3.0,0.0138,0.0207
646d2f52bde86ad3421317de,pana buena nota conexion goleadora brizuela ex scouting seleccion venezuela pekerman desmontan teoria argentinos pekerman santo culpa fvf mejor pudo pasar,574,1920,0,13233,5,1,0,1,7,2,7569,5.0,0.013300000000000001,0.28325
646d2f52bde86ad3421317df,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,2850,2794,3,91157,0,0,0,0,0,3,207139,2.0,0.0044,0.0044
646d2f52bde86ad3421317e0,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,1262,1762,0,43775,0,0,0,0,0,2,55757,1.0,0.0044,0.0022
646d2f52bde86ad3421317e1,palabras juan arango luego juego argentina cortesia,17771,4132,214,494,0,0,0,0,0,64,16772,104.0,0.5057,26.296400000000002
646d2f52bde86ad3421317e2,sub 17 pasa pagina espera chile mas informacion aqui,111877,1636,451,239,1,0,0,0,1,56,460182,3.0,0.0138,0.0207
646d2f52bde86ad3421317e3,estadio monumental maturin sera sede juego venezuela vs paraguay primer encuentro eliminatorias mundial 2026 segun dijo jorge gimenez presidente,158,329,1,9878,0,0,0,0,0,3,12771,3.0,0.0044,0.0066
